Planet Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period (days),Planet Radius (Earth Radius),Planet Mass,Distance From Earth,Release Date
HD 222582 b,2,1,Radial Velocity,1999,W. M. Keck Observatory,572.537,,2504.48785,42.1586,9/20/2021 0:00
HD 224538 b,1,1,Radial Velocity,2016,Multiple Observatories,1202.05199,,2075.73733,79.0608,6/12/2023 0:00
HD 224693 b,1,1,Radial Velocity,2006,W. M. Keck Observatory,26.6904,,222.481,93.5015,9/27/2018 0:00
HD 22496 b,1,1,Radial Velocity,2021,Paranal Observatory,5.09071,,5.57,13.5956,9/20/2021 0:00
HD 22532 b,1,1,Radial Velocity,2022,La Silla Observatory,872.6,,673.79622,161.183,2/1/2022 0:00
HD 22781 b,1,1,Radial Velocity,2011,Haute-Provence Observatory,528.07,,4338.2,32.6034,1/31/2019 0:00
HD 22946 d,1,3,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),47.42489,2.607,26.57,62.7792,7/10/2023 0:00
HD 23079 b,1,1,Radial Velocity,2001,Anglo-Australian Telescope,730.59998,,829.5363,33.4591,9/6/2018 0:00
HD 23127 b,1,1,Radial Velocity,2006,Anglo-Australian Telescope,1211.17,,485.32641,93.8555,6/27/2019 0:00
HD 231701 b,1,1,Radial Velocity,2007,W. M. Keck Observatory,141.63,,359.1479,108.877,9/27/2018 0:00
HD 233604 b,1,1,Radial Velocity,2013,McDonald Observatory,192,,2089.644,847.058,5/14/2014 0:00
HD 233832 b,2,1,Radial Velocity,2018,Roque de los Muchachos Observatory,2058,,565.7374,58.742,11/21/2019 0:00
HD 23472 b,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),17.6671687,1.87,,39.0341,12/4/2023 0:00
HD 23472 c,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),29.7975205,1.61,,39.0341,12/4/2023 0:00
HD 23472 d,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),3.9766833,0.758,,39.0341,12/4/2023 0:00
HD 23472 e,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),7.9076222,0.97,,39.0341,12/4/2023 0:00
HD 23472 f,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),12.1623316,1.156,,39.0341,12/4/2023 0:00
HD 235088 b,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),7.4341456,1.977,,41.1706,11/20/2024 0:00
HD 23596 b,2,1,Radial Velocity,2003,Haute-Provence Observatory,1535.11912,,3786.60764,52.0018,6/12/2023 0:00
HD 238090 b,1,1,Radial Velocity,2020,Multiple Observatories,13.671,,6.89,15.2354,3/4/2021 0:00
HD 238914 b,1,1,Radial Velocity,2018,Multiple Observatories,4100,,1906.98,519.452,1/25/2018 0:00
HD 240210 b,1,1,Radial Velocity,2009,McDonald Observatory,501.75,,1655.82,372.405,11/19/2014 0:00
HD 240237 b,1,1,Radial Velocity,2011,McDonald Observatory,745.70001,,5050.3187,933.377,9/6/2018 0:00
HD 24040 b,1,2,Radial Velocity,2006,W. M. Keck Observatory,3552,,1287.20505,46.6224,9/20/2021 0:00
HD 24040 c,1,2,Radial Velocity,2021,Multiple Observatories,515.4,,63.88351,46.6224,9/20/2021 0:00
HD 24064 b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,535.59998,,4096.8287,300.247,9/6/2018 0:00
HD 24085 b,1,1,Radial Velocity,2019,Las Campanas Observatory,2.0455,,11.8,54.9004,5/23/2019 0:00
HD 25015 b,1,1,Radial Velocity,2019,La Silla Observatory,6134.427,,2884.92845,37.433,6/12/2023 0:00
HD 25171 b,2,1,Radial Velocity,2010,La Silla Observatory,1802.29,,290.81445,55.6146,6/27/2019 0:00
HD 25463 b,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),7.04916084,2.846,,45.6181,12/10/2024 0:00
HD 25463 c,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),3.04404408,1.334,,45.6181,11/20/2024 0:00
HD 25723 b,1,1,Radial Velocity,2020,Lick Observatory,457.01,,794.57102,114.816,10/25/2021 0:00
HD 25912 b,1,2,Radial Velocity,2022,Multiple Observatories,41.83156,,38.13941,49.1661,6/14/2023 0:00
HD 25912 c,1,2,Radial Velocity,2022,Multiple Observatories,26308.65619,,5252.75008,49.1661,6/12/2023 0:00
HD 260655 b,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.7694936,1.273,,10.0055,1/5/2024 0:00
HD 260655 c,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),5.7060868,1.896,,10.0055,1/5/2024 0:00
HD 26161 b,1,1,Radial Velocity,2021,Multiple Observatories,10942.29013,,9045.39646,40.9128,6/12/2023 0:00
HD 2638 b,3,1,Radial Velocity,2005,La Silla Observatory,3.458,,158.9142,54.9621,1/10/2022 0:00
HD 2685 b,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.1269052,,,196.852,3/4/2024 0:00
HD 27442 b,2,1,Radial Velocity,2000,Anglo-Australian Telescope,415.2,,429.0705,18.2704,4/30/2015 0:00
HD 27631 b,1,1,Radial Velocity,2012,La Silla Observatory,2170,,495.81231,50.2862,6/12/2023 0:00
HD 27894 b,1,3,Radial Velocity,2005,La Silla Observatory,18.01939,,196.73578,43.8214,6/14/2023 0:00
HD 27894 c,1,3,Radial Velocity,2017,La Silla Observatory,36.07,,51.48846,43.8214,6/15/2017 0:00
HD 27894 d,1,3,Radial Velocity,2017,La Silla Observatory,5019.54244,,2063.65985,43.8214,6/12/2023 0:00
HD 27969 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,654.5,,1525.57635,67.9328,7/26/2021 0:00
HD 28109 b,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),22.8909855,2.559,,139.611,12/4/2023 0:00
HD 28109 c,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),56.00450565,4.607,,139.611,12/4/2023 0:00
HD 28109 d,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),84.26076445,3.436,,139.611,2/16/2024 0:00
HD 28185 b,1,2,Radial Velocity,2001,La Silla Observatory,385.52775,,1855.16441,39.3809,6/14/2023 0:00
HD 28185 c,1,2,Radial Velocity,2022,Multiple Observatories,17417.92079,,6241.83209,39.3809,6/12/2023 0:00
HD 28192 b,1,1,Radial Velocity,2022,Multiple Observatories,14.23283,,99.79812,49.8063,6/14/2023 0:00
HD 28254 b,2,1,Radial Velocity,2010,La Silla Observatory,1333,,1207.74795,55.2884,9/5/2023 0:00
HD 284149 AB b,2,1,Imaging,2017,Paranal Observatory,,,8352.53054,117.807,6/11/2024 0:00
HD 285507 b,1,1,Radial Velocity,2013,Fred Lawrence Whipple Observatory,6.0881,,311.4734,45.0293,9/6/2018 0:00
HD 285968 b,1,1,Radial Velocity,2008,La Silla Observatory,8.7752,,9.05811,9.47045,9/20/2021 0:00
HD 28678 b,1,1,Radial Velocity,2011,W. M. Keck Observatory,380.2,,490.09386,189.908,12/6/2018 0:00
HD 29021 b,1,1,Radial Velocity,2017,Haute-Provence Observatory,1365,,1420.69298,30.9939,6/27/2022 0:00
HD 290327 b,1,1,Radial Velocity,2009,La Silla Observatory,2443,,772.3269,56.433,9/6/2018 0:00
HD 29399 b,1,1,Radial Velocity,2022,La Silla Observatory,,,551.8,44.1518,9/13/2024 0:00
HD 2952 b,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,312.08,,284.77425,110.103,9/19/2023 0:00
HD 29985 b,1,1,Radial Velocity,2022,Multiple Observatories,20608.14049,,1739.47487,31.2707,6/12/2023 0:00
HD 30177 b,1,2,Radial Velocity,2002,Anglo-Australian Telescope,2514.53422,,2670.7121,55.5867,6/12/2023 0:00
HD 30177 c,1,2,Radial Velocity,2016,Multiple Observatories,12085.45186,,1954.6447,55.5867,6/12/2023 0:00
HD 30562 b,1,1,Radial Velocity,2009,Lick Observatory,1153,,467.20776,26.1597,6/12/2023 0:00
HD 30669 b,1,1,Radial Velocity,2014,La Silla Observatory,1684,,149.37,58.0844,1/8/2015 0:00
HD 30856 b,2,1,Radial Velocity,2011,W. M. Keck Observatory,847,,491.68301,131.199,12/6/2018 0:00
HD 31253 b,1,1,Radial Velocity,2010,W. M. Keck Observatory,468.7,,141.75147,58.1438,9/20/2021 0:00
HD 31527 b,1,3,Radial Velocity,2019,La Silla Observatory,16.5535,,10.47,38.4473,2/7/2019 0:00
HD 31527 c,1,3,Radial Velocity,2019,La Silla Observatory,51.2053,,14.16,38.4473,2/7/2019 0:00
HD 31527 d,1,3,Radial Velocity,2019,La Silla Observatory,271.6737,,11.82,38.4473,2/7/2019 0:00
HD 3167 b,1,4,Transit,2016,K2,0.959641,1.67,4.97,47.2899,4/17/2023 0:00
HD 3167 c,1,4,Transit,2016,K2,,,,47.2899,11/28/2023 0:00
HD 3167 d,1,4,Radial Velocity,2017,Multiple Observatories,8.509,,6.9,47.2899,7/12/2024 0:00
HD 3167 e,1,4,Radial Velocity,2022,CHaracterising ExOPlanets Satellite (CHEOPS),96.63,,8.41,47.2899,4/17/2023 0:00
HD 32518 b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,157.35,,905.49313,122.115,9/19/2023 0:00
HD 32963 b,1,1,Radial Velocity,2015,W. M. Keck Observatory,2368,,657.9048,38.0786,6/12/2023 0:00
HD 330075 b,1,1,Radial Velocity,2004,La Silla Observatory,3.38773,,152.5584,45.2989,9/6/2018 0:00
HD 331093 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,621.62,,476.74261,50.1928,5/28/2021 0:00
HD 33142 b,1,3,Radial Velocity,2011,W. M. Keck Observatory,330,,400.46379,121.375,6/27/2022 0:00
HD 33142 c,1,3,Radial Velocity,2018,W. M. Keck Observatory,810.2,,282.86728,121.375,6/27/2022 0:00
